FREE	0x600002444040	0	0	src/smtp.c:20:9	3555414191	3555414402
FREE	0x7fb86e808800	0	0	src/smtp.c:20:9	3555414661	3555414919
FREE	0x600002654170	0	0	src/smtp.c:40:9	3555415067	3555415223
FREE	0x600002654320	0	0	src/server.c:186:4	3555415429	3555415536
MALLOC	0x600002a502a0	37	1	src/logger.c:62:27	3555425782	3555425997
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3555429395	3555429550
MALLOC	0x600002654320	5	1	src/server.c:174:14	3555435418	3555435561
MALLOC	0x600002a502a0	36	1	src/logger.c:62:27	3555435892	3555436004
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3555438278	3555438399
FREE	0x600002654320	0	0	src/server.c:186:4	3555452909	3555453013
MALLOC	0x600002a502a0	37	1	src/logger.c:62:27	3555462115	3555462292
FREE	0x600002a502a0	0	0	src/logger.c:71:5	3555465286	3555465431
MALLOC	0x7fb86fb04320	1001	1	src/server.c:174:14	3555494169	3555494639
MALLOC	0x7fb879011a00	1032	1	src/logger.c:62:27	3555495652	3555495973
FREE	0x7fb879011a00	0	0	src/logger.c:71:5	3555500018	3555500477
MALLOC	0x7fb879012000	1017	1	src/smtp.c:171:43	3555500904	3555501070
FREE	0x7fb86fb04320	0	0	src/server.c:186:4	3555501446	3555501809
MALLOC	0x60000245c000	32	1	src/logger.c:62:27	3555505828	3555506135
FREE	0x60000245c000	0	0	src/logger.c:71:5	3555508499	3555508676
MALLOC	0x6000026441b0	2	1	src/server.c:174:14	3555509010	3555509183
MALLOC	0x600002a5c000	33	1	src/logger.c:62:27	3555509455	3555509587
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555511527	3555511642
FREE	0x600002444060	0	0	src/smtp.c:20:9	3555528183	3555528346
FREE	0x7fb879012000	0	0	src/smtp.c:20:9	3555528581	3555528806
FREE	0x600002654260	0	0	src/smtp.c:40:9	3555528953	3555529092
FREE	0x6000026441b0	0	0	src/server.c:186:4	3555529267	3555529378
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555538797	3555538980
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555542036	3555542181
MALLOC	0x6000026441b0	5	1	src/server.c:174:14	3555547483	3555547649
MALLOC	0x600002a5c000	36	1	src/logger.c:62:27	3555548023	3555548130
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555550382	3555550517
FREE	0x6000026441b0	0	0	src/server.c:186:4	3555563193	3555563304
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555571304	3555571475
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555574860	3555574990
MALLOC	0x7fb86fb04080	1001	1	src/server.c:174:14	3555582166	3555582561
MALLOC	0x7fb87900a600	1032	1	src/logger.c:62:27	3555583006	3555583154
FREE	0x7fb87900a600	0	0	src/logger.c:71:5	3555585501	3555585652
MALLOC	0x7fb879011a00	1017	1	src/smtp.c:171:43	3555585946	3555586133
FREE	0x7fb86fb04080	0	0	src/server.c:186:4	3555586490	3555586709
MALLOC	0x60000245c0c0	32	1	src/logger.c:62:27	3555589450	3555589593
FREE	0x60000245c0c0	0	0	src/logger.c:71:5	3555591767	3555591950
MALLOC	0x6000026441b0	2	1	src/server.c:174:14	3555592233	3555592362
MALLOC	0x600002a5c000	33	1	src/logger.c:62:27	3555592603	3555592693
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555596456	3555596566
FREE	0x600002444000	0	0	src/smtp.c:20:9	3555606842	3555606977
FREE	0x7fb879011a00	0	0	src/smtp.c:20:9	3555607207	3555607474
FREE	0x600002654210	0	0	src/smtp.c:40:9	3555607608	3555607769
FREE	0x6000026441b0	0	0	src/server.c:186:4	3555607948	3555608045
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555616078	3555616263
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555619332	3555619463
MALLOC	0x60000245c0c0	26	1	src/server.c:174:14	3555623854	3555624007
MALLOC	0x600003140040	57	1	src/logger.c:62:27	3555624382	3555624499
FREE	0x600003140040	0	0	src/logger.c:71:5	3555626669	3555626798
MALLOC	0x60000245c000	32	1	src/smtp.c:109:48	3555659160	3555659281
FREE	0x60000245c0c0	0	0	src/server.c:186:4	3555661197	3555661325
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555670132	3555670297
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555673433	3555673569
MALLOC	0x60000245c0c0	26	1	src/server.c:174:14	3555678408	3555678564
MALLOC	0x600003140040	57	1	src/logger.c:62:27	3555678858	3555678999
FREE	0x600003140040	0	0	src/logger.c:71:5	3555681183	3555681328
MALLOC	0x60000245c100	32	1	src/smtp.c:109:48	3555710954	3555711048
FREE	0x60000245c0c0	0	0	src/server.c:186:4	3555712788	3555712913
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555720795	3555720970
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555724021	3555724166
MALLOC	0x6000026441b0	5	1	src/server.c:174:14	3555728400	3555728562
MALLOC	0x600002a5c000	36	1	src/logger.c:62:27	3555728875	3555728978
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555731051	3555731166
FREE	0x6000026441b0	0	0	src/server.c:186:4	3555741161	3555741257
MALLOC	0x600002a5c000	40	1	src/logger.c:62:27	3555748869	3555749024
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555751774	3555751907
MALLOC	0x60000245c0c0	26	1	src/server.c:174:14	3555757568	3555757714
MALLOC	0x600003140040	57	1	src/logger.c:62:27	3555758014	3555758129
FREE	0x600003140040	0	0	src/logger.c:71:5	3555760300	3555760427
MALLOC	0x60000245c140	32	1	src/smtp.c:109:48	3555789916	3555790026
FREE	0x60000245c0c0	0	0	src/server.c:186:4	3555791777	3555791885
MALLOC	0x600002a5c000	37	1	src/logger.c:62:27	3555800007	3555800235
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555803383	3555803529
MALLOC	0x6000026441c0	5	1	src/server.c:174:14	3555807713	3555807882
MALLOC	0x600002a5c000	36	1	src/logger.c:62:27	3555808187	3555808289
FREE	0x600002a5c000	0	0	src/logger.c:71:5	3555810419	3555810548
